Run dir: /Users/lukas/weird_objects/hexapod_walker/policies/walker_v5
Using cpu device
Logging to /Users/lukas/weird_objects/hexapod_walker/policies/walker_v5
Training 2000000 steps across 8 parallel envs ...
---------------------------------
| rollout/           |          |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 348        |
| time/                   |            |
|    fps                  | 5492       |
|    iterations           | 10         |
|    time_elapsed         | 29         |
|    total_timesteps      | 163840     |
| train/                  |            |
|    approx_kl            | 0.03713627 |
|    clip_fraction        | 0.389      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.17       |
|    explained_variance   | 0.967      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0271    |
|    n_updates            | 90         |
|    policy_gradient_loss | -0.0174    |
|    std                  | 0.181      |
|    value_loss           | 0.0126     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 345         |
| time/                   |             |
|    fps                  | 5462        |
|    iterations           | 11          |
|    time_elapsed         | 32          |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.035886884 |
|    clip_fraction        | 0.385       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.23        |
|    explained_variance   | 0.968       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.018      |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.0175     |
|    std                  | 0.181       |
|    value_loss           | 0.0123      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 341         |
| time/                   |             |
|    fps                  | 5415        |
|    iterations           | 12          |
|    time_elapsed         | 36          |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.036467664 |
|    clip_fraction        | 0.397       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.25        |
|    explained_variance   | 0.967       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0269     |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.018      |
|    std                  | 0.181       |
|    value_loss           | 0.0121      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 354        |
| time/                   |            |
|    fps                  | 5396       |
|    iterations           | 13         |
|    time_elapsed         | 39         |
|    total_timesteps      | 212992     |
| train/                  |            |
|    approx_kl            | 0.03973286 |
|    clip_fraction        | 0.399      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.29       |
|    explained_variance   | 0.974      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0181    |
|    n_updates            | 120        |
|    policy_gradient_loss | -0.0165    |
|    std                  | 0.18       |
|    value_loss           | 0.0119     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 363         |
| time/                   |             |
|    fps                  | 5375        |
|    iterations           | 14          |
|    time_elapsed         | 42          |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.034676746 |
|    clip_fraction        | 0.379       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.33        |
|    explained_variance   | 0.979       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0271     |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.0177     |
|    std                  | 0.18        |
|    value_loss           | 0.00861     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 326        |
| time/                   |            |
|    fps                  | 5386       |
|    iterations           | 15         |
|    time_elapsed         | 45         |
|    total_timesteps      | 245760     |
| train/                  |            |
|    approx_kl            | 0.03775896 |
|    clip_fraction        | 0.401      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.35       |
|    explained_variance   | 0.983      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0246    |
|    n_updates            | 140        |
|    policy_gradient_loss | -0.018     |
|    std                  | 0.18       |
|    value_loss           | 0.0109     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 353         |
| time/                   |             |
|    fps                  | 5388        |
|    iterations           | 16          |
|    time_elapsed         | 48          |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.035683513 |
|    clip_fraction        | 0.392       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.38        |
|    explained_variance   | 0.975       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0343     |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0168     |
|    std                  | 0.179       |
|    value_loss           | 0.0101      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 372        |
| time/                   |            |
|    fps                  | 5398       |
|    iterations           | 17         |
|    time_elapsed         | 51         |
|    total_timesteps      | 278528     |
| train/                  |            |
|    approx_kl            | 0.03917469 |
|    clip_fraction        | 0.404      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.39       |
|    explained_variance   | 0.984      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0255    |
|    n_updates            | 160        |
|    policy_gradient_loss | -0.0178    |
|    std                  | 0.179      |
|    value_loss           | 0.0104     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 368        |
| time/                   |            |
|    fps                  | 5399       |
|    iterations           | 18         |
|    time_elapsed         | 54         |
|    total_timesteps      | 294912     |
| train/                  |            |
|    approx_kl            | 0.03906496 |
|    clip_fraction        | 0.399      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.41       |
|    explained_variance   | 0.984      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0237    |
|    n_updates            | 170        |
|    policy_gradient_loss | -0.0176    |
|    std                  | 0.179      |
|    value_loss           | 0.0086     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 348        |
| time/                   |            |
|    fps                  | 5407       |
|    iterations           | 19         |
|    time_elapsed         | 57         |
|    total_timesteps      | 311296     |
| train/                  |            |
|    approx_kl            | 0.03949209 |
|    clip_fraction        | 0.401      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.43       |
|    explained_variance   | 0.987      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0266    |
|    n_updates            | 180        |
|    policy_gradient_loss | -0.0168    |
|    std                  | 0.179      |
|    value_loss           | 0.00905    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 361         |
| time/                   |             |
|    fps                  | 5423        |
|    iterations           | 20          |
|    time_elapsed         | 60          |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.038865987 |
|    clip_fraction        | 0.411       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.45        |
|    explained_variance   | 0.986       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0175     |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0168     |
|    std                  | 0.179       |
|    value_loss           | 0.00833     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 363        |
| time/                   |            |
|    fps                  | 5428       |
|    iterations           | 21         |
|    time_elapsed         | 63         |
|    total_timesteps      | 344064     |
| train/                  |            |
|    approx_kl            | 0.03881575 |
|    clip_fraction        | 0.406      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.47       |
|    explained_variance   | 0.989      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0316    |
|    n_updates            | 200        |
|    policy_gradient_loss | -0.0194    |
|    std                  | 0.178      |
|    value_loss           | 0.00792    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 335        |
| time/                   |            |
|    fps                  | 5431       |
|    iterations           | 22         |
|    time_elapsed         | 66         |
|    total_timesteps      | 360448     |
| train/                  |            |
|    approx_kl            | 0.04163082 |
|    clip_fraction        | 0.411      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.51       |
|    explained_variance   | 0.988      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0345    |
|    n_updates            | 210        |
|    policy_gradient_loss | -0.019     |
|    std                  | 0.178      |
|    value_loss           | 0.00789    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 338        |
| time/                   |            |
|    fps                  | 5420       |
|    iterations           | 23         |
|    time_elapsed         | 69         |
|    total_timesteps      | 376832     |
| train/                  |            |
|    approx_kl            | 0.04225348 |
|    clip_fraction        | 0.42       |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.53       |
|    explained_variance   | 0.984      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0134    |
|    n_updates            | 220        |
|    policy_gradient_loss | -0.0182    |
|    std                  | 0.178      |
|    value_loss           | 0.00937    |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 300       |
|    ep_rew_mean          | 356       |
| time/                   |           |
|    fps                  | 5401      |
|    iterations           | 24        |
|    time_elapsed         | 72        |
|    total_timesteps      | 393216    |
| train/                  |           |
|    approx_kl            | 0.0397662 |
|    clip_fraction        | 0.412     |
|    clip_range           | 0.2       |
|    entropy_loss         | 5.57      |
|    explained_variance   | 0.987     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0281   |
|    n_updates            | 230       |
|    policy_gradient_loss | -0.0179   |
|    std                  | 0.177     |
|    value_loss           | 0.0074    |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 370         |
| time/                   |             |
|    fps                  | 5401        |
|    iterations           | 25          |
|    time_elapsed         | 75          |
|    total_timesteps      | 409600      |
| train/                  |             |
|    approx_kl            | 0.041737184 |
|    clip_fraction        | 0.412       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.59        |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0235     |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0192     |
|    std                  | 0.177       |
|    value_loss           | 0.00767     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 358        |
| time/                   |            |
|    fps                  | 5399       |
|    iterations           | 26         |
|    time_elapsed         | 78         |
|    total_timesteps      | 425984     |
| train/                  |            |
|    approx_kl            | 0.04210703 |
|    clip_fraction        | 0.425      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.61       |
|    explained_variance   | 0.991      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0277    |
|    n_updates            | 250        |
|    policy_gradient_loss | -0.0174    |
|    std                  | 0.177      |
|    value_loss           | 0.00747    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 345         |
| time/                   |             |
|    fps                  | 5400        |
|    iterations           | 27          |
|    time_elapsed         | 81          |
|    total_timesteps      | 442368      |
| train/                  |             |
|    approx_kl            | 0.041192926 |
|    clip_fraction        | 0.418       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.64        |
|    explained_variance   | 0.987       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.033      |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0176     |
|    std                  | 0.177       |
|    value_loss           | 0.00852     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 358         |
| time/                   |             |
|    fps                  | 5394        |
|    iterations           | 28          |
|    time_elapsed         | 85          |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.042265195 |
|    clip_fraction        | 0.428       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.66        |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0258     |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0177     |
|    std                  | 0.177       |
|    value_loss           | 0.00767     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 363        |
| time/                   |            |
|    fps                  | 5397       |
|    iterations           | 29         |
|    time_elapsed         | 88         |
|    total_timesteps      | 475136     |
| train/                  |            |
|    approx_kl            | 0.04436168 |
|    clip_fraction        | 0.424      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.71       |
|    explained_variance   | 0.99       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0206    |
|    n_updates            | 280        |
|    policy_gradient_loss | -0.0173    |
|    std                  | 0.176      |
|    value_loss           | 0.00709    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 342        |
| time/                   |            |
|    fps                  | 5393       |
|    iterations           | 30         |
|    time_elapsed         | 91         |
|    total_timesteps      | 491520     |
| train/                  |            |
|    approx_kl            | 0.04664293 |
|    clip_fraction        | 0.432      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.76       |
|    explained_variance   | 0.988      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0294    |
|    n_updates            | 290        |
|    policy_gradient_loss | -0.0165    |
|    std                  | 0.176      |
|    value_loss           | 0.00713    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 352         |
| time/                   |             |
|    fps                  | 5399        |
|    iterations           | 31          |
|    time_elapsed         | 94          |
|    total_timesteps      | 507904      |
| train/                  |             |
|    approx_kl            | 0.048434034 |
|    clip_fraction        | 0.441       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.77        |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0335     |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0173     |
|    std                  | 0.176       |
|    value_loss           | 0.0078      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 396        |
| time/                   |            |
|    fps                  | 5405       |
|    iterations           | 32         |
|    time_elapsed         | 96         |
|    total_timesteps      | 524288     |
| train/                  |            |
|    approx_kl            | 0.04342372 |
|    clip_fraction        | 0.426      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.77       |
|    explained_variance   | 0.99       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0289    |
|    n_updates            | 310        |
|    policy_gradient_loss | -0.0174    |
|    std                  | 0.176      |
|    value_loss           | 0.00556    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 370        |
| time/                   |            |
|    fps                  | 5402       |
|    iterations           | 33         |
|    time_elapsed         | 100        |
|    total_timesteps      | 540672     |
| train/                  |            |
|    approx_kl            | 0.04579777 |
|    clip_fraction        | 0.429      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.83       |
|    explained_variance   | 0.99       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0289    |
|    n_updates            | 320        |
|    policy_gradient_loss | -0.0171    |
|    std                  | 0.175      |
|    value_loss           | 0.00523    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 356         |
| time/                   |             |
|    fps                  | 5400        |
|    iterations           | 34          |
|    time_elapsed         | 103         |
|    total_timesteps      | 557056      |
| train/                  |             |
|    approx_kl            | 0.046939664 |
|    clip_fraction        | 0.435       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.91        |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.02       |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0163     |
|    std                  | 0.174       |
|    value_loss           | 0.00708     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 361        |
| time/                   |            |
|    fps                  | 5403       |
|    iterations           | 35         |
|    time_elapsed         | 106        |
|    total_timesteps      | 573440     |
| train/                  |            |
|    approx_kl            | 0.04631266 |
|    clip_fraction        | 0.434      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.96       |
|    explained_variance   | 0.992      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0119    |
|    n_updates            | 340        |
|    policy_gradient_loss | -0.015     |
|    std                  | 0.174      |
|    value_loss           | 0.00633    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 368         |
| time/                   |             |
|    fps                  | 5407        |
|    iterations           | 36          |
|    time_elapsed         | 109         |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.045890894 |
|    clip_fraction        | 0.438       |
|    clip_range           | 0.2         |
|    entropy_loss         | 6           |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0191     |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0183     |
|    std                  | 0.173       |
|    value_loss           | 0.00618     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 369         |
| time/                   |             |
|    fps                  | 5411        |
|    iterations           | 37          |
|    time_elapsed         | 112         |
|    total_timesteps      | 606208      |
| train/                  |             |
|    approx_kl            | 0.046018656 |
|    clip_fraction        | 0.449       |
|    clip_range           | 0.2         |
|    entropy_loss         | 6.04        |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0204     |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0161     |
|    std                  | 0.173       |
|    value_loss           | 0.00565     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 360         |
| time/                   |             |
|    fps                  | 5415        |
|    iterations           | 38          |
|    time_elapsed         | 114         |
|    total_timesteps      | 622592      |
| train/                  |             |
|    approx_kl            | 0.047338724 |
|    clip_fraction        | 0.461       |
|    clip_range           | 0.2         |
|    entropy_loss         | 6.08        |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0208     |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0146     |
|    std                  | 0.173       |
|    value_loss           | 0.0059      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 378        |
| time/                   |            |
|    fps                  | 5427       |
|    iterations           | 39         |
|    time_elapsed         | 117        |
|    total_timesteps      | 638976     |
| train/                  |            |
|    approx_kl            | 0.04809914 |
|    clip_fraction        | 0.454      |
|    clip_range           | 0.2        |
|    entropy_loss         | 6.11       |
|    explained_variance   | 0.989      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0246    |
|    n_updates            | 380        |
|    policy_gradient_loss | -0.0159    |
|    std                  | 0.172      |
|    value_loss           | 0.00551    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 375        |
| time/                   |            |
|    fps                  | 5431       |
|    iterations           | 40         |
|    time_elapsed         | 120        |
|    total_timesteps      | 655360     |
| train/                  |            |
|    approx_kl            | 0.04785469 |
|    clip_fraction        | 0.452      |
|    clip_range           | 0.2        |
|    entropy_loss         | 6.13       |
|    explained_variance   | 0.984      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0257    |
|    n_updates            | 390        |
|    policy_gradient_loss | -0.0177    |
|    std                  | 0.172      |
|    value_loss           | 0.0054     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 364        |
| time/                   |            |
|    fps                  | 5436       |
|    iterations           | 41         |
|    time_elapsed         | 123        |
|    total_timesteps      | 671744     |
| train/                  |            |
|    approx_kl            | 0.04819446 |
|    clip_fraction        | 0.452      |
|    clip_range           | 0.2        |
|    entropy_loss         | 6.12       |
|    explained_variance   | 0.992      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0439    |
|    n_updates            | 400        |
|    policy_gradient_loss | -0.0178    |
|    std                  | 0.172      |
|    value_loss           | 0.00582    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 379         |
| time/                   |             |
|    fps                  | 5440        |
|    iterations           | 42          |
|    time_elapsed         | 126         |
|    total_timesteps      | 688128      |
| train/                  |             |
|    approx_kl            | 0.047258615 |
|    clip_fraction        | 0.45        |
|    clip_range           | 0.2         |
|    entropy_loss         | 6.16        |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0375     |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0161     |
|    std                  | 0.172       |
|    value_loss           | 0.00573     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 361         |
| time/                   |             |
|    fps                  | 5441        |
|    iterations           | 43          |
|    time_elapsed         | 129         |
|    total_timesteps      | 704512      |
| train/                  |             |
|    approx_kl            | 0.050497994 |
|    clip_fraction        | 0.451       |
|    clip_range           | 0.2         |
|    entropy_loss         | 6.21        |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00972    |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0167     |
|    std                  | 0.171       |
|    value_loss           | 0.00494     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 339         |
| time/                   |             |
|    fps                  | 5441        |
|    iterations           | 44          |
|    time_elapsed         | 132         |
|    total_timesteps      | 720896      |
| train/                  |             |
|    approx_kl            | 0.052026626 |
|    clip_fraction        | 0.461       |
|    clip_range           | 0.2         |
|    entropy_loss         | 6.25        |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0334     |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.016      |
|    std                  | 0.171       |
|    value_loss           | 0.00641     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 344         |
| time/                   |             |
|    fps                  | 5441        |
|    iterations           | 45          |
|    time_elapsed         | 135         |
|    total_timesteps      | 737280      |
| train/                  |             |
|    approx_kl            | 0.051487822 |
|    clip_fraction        | 0.464       |
|    clip_range           | 0.2         |
|    entropy_loss         | 6.26        |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0193     |
|    n_updates            | 440         |
|    policy_gradient_loss | -0.013      |
|    std                  | 0.171       |
|    value_loss           | 0.00772     |
