Run dir: /Users/lukas/weird_objects/hexapod_walker/policies/walker_v6
Using cpu device
Logging to /Users/lukas/weird_objects/hexapod_walker/policies/walker_v6
Training 5000000 steps across 8 parallel envs ...
---------------------------------
| rollout/           |          |
|    loss                 | -0.0225   |
|    n_updates            | 200       |
|    policy_gradient_loss | -0.00866  |
|    std                  | 0.18      |
|    value_loss           | 0.00873   |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 316        |
| time/                   |            |
|    fps                  | 4734       |
|    iterations           | 22         |
|    time_elapsed         | 76         |
|    total_timesteps      | 360448     |
| train/                  |            |
|    approx_kl            | 0.06478404 |
|    clip_fraction        | 0.509      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.3        |
|    explained_variance   | 0.986      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0169    |
|    n_updates            | 210        |
|    policy_gradient_loss | -0.0104    |
|    std                  | 0.18       |
|    value_loss           | 0.0084     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 321        |
| time/                   |            |
|    fps                  | 4741       |
|    iterations           | 23         |
|    time_elapsed         | 79         |
|    total_timesteps      | 376832     |
| train/                  |            |
|    approx_kl            | 0.06566084 |
|    clip_fraction        | 0.505      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.32       |
|    explained_variance   | 0.988      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.015     |
|    n_updates            | 220        |
|    policy_gradient_loss | -0.00754   |
|    std                  | 0.18       |
|    value_loss           | 0.00847    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 322         |
| time/                   |             |
|    fps                  | 4743        |
|    iterations           | 24          |
|    time_elapsed         | 82          |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.063967384 |
|    clip_fraction        | 0.503       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.35        |
|    explained_variance   | 0.987       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00823    |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.00964    |
|    std                  | 0.18        |
|    value_loss           | 0.0077      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 315         |
| time/                   |             |
|    fps                  | 4745        |
|    iterations           | 25          |
|    time_elapsed         | 86          |
|    total_timesteps      | 409600      |
| train/                  |             |
|    approx_kl            | 0.064421885 |
|    clip_fraction        | 0.502       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.35        |
|    explained_variance   | 0.987       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0215     |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0107     |
|    std                  | 0.18        |
|    value_loss           | 0.00811     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 281        |
| time/                   |            |
|    fps                  | 4747       |
|    iterations           | 26         |
|    time_elapsed         | 89         |
|    total_timesteps      | 425984     |
| train/                  |            |
|    approx_kl            | 0.07596915 |
|    clip_fraction        | 0.529      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.35       |
|    explained_variance   | 0.987      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0276    |
|    n_updates            | 250        |
|    policy_gradient_loss | -0.0112    |
|    std                  | 0.18       |
|    value_loss           | 0.00858    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 316        |
| time/                   |            |
|    fps                  | 4746       |
|    iterations           | 27         |
|    time_elapsed         | 93         |
|    total_timesteps      | 442368     |
| train/                  |            |
|    approx_kl            | 0.07581588 |
|    clip_fraction        | 0.532      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.39       |
|    explained_variance   | 0.988      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0363    |
|    n_updates            | 260        |
|    policy_gradient_loss | -0.0129    |
|    std                  | 0.179      |
|    value_loss           | 0.00793    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 318         |
| time/                   |             |
|    fps                  | 4745        |
|    iterations           | 28          |
|    time_elapsed         | 96          |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.068158254 |
|    clip_fraction        | 0.523       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.44        |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0196     |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.00852    |
|    std                  | 0.179       |
|    value_loss           | 0.00664     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 318        |
| time/                   |            |
|    fps                  | 4748       |
|    iterations           | 29         |
|    time_elapsed         | 100        |
|    total_timesteps      | 475136     |
| train/                  |            |
|    approx_kl            | 0.06763282 |
|    clip_fraction        | 0.527      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.48       |
|    explained_variance   | 0.989      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.018     |
|    n_updates            | 280        |
|    policy_gradient_loss | -0.0101    |
|    std                  | 0.178      |
|    value_loss           | 0.00833    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 318        |
| time/                   |            |
|    fps                  | 4754       |
|    iterations           | 30         |
|    time_elapsed         | 103        |
|    total_timesteps      | 491520     |
| train/                  |            |
|    approx_kl            | 0.07023768 |
|    clip_fraction        | 0.523      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.51       |
|    explained_variance   | 0.991      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0238    |
|    n_updates            | 290        |
|    policy_gradient_loss | -0.00961   |
|    std                  | 0.178      |
|    value_loss           | 0.00776    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 297        |
| time/                   |            |
|    fps                  | 4754       |
|    iterations           | 31         |
|    time_elapsed         | 106        |
|    total_timesteps      | 507904     |
| train/                  |            |
|    approx_kl            | 0.07056818 |
|    clip_fraction        | 0.52       |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.52       |
|    explained_variance   | 0.99       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0108    |
|    n_updates            | 300        |
|    policy_gradient_loss | -0.0101    |
|    std                  | 0.178      |
|    value_loss           | 0.00721    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 297        |
| time/                   |            |
|    fps                  | 4756       |
|    iterations           | 32         |
|    time_elapsed         | 110        |
|    total_timesteps      | 524288     |
| train/                  |            |
|    approx_kl            | 0.07356947 |
|    clip_fraction        | 0.532      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.57       |
|    explained_variance   | 0.989      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0336    |
|    n_updates            | 310        |
|    policy_gradient_loss | -0.00835   |
|    std                  | 0.177      |
|    value_loss           | 0.00904    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 300         |
| time/                   |             |
|    fps                  | 4755        |
|    iterations           | 33          |
|    time_elapsed         | 113         |
|    total_timesteps      | 540672      |
| train/                  |             |
|    approx_kl            | 0.084135234 |
|    clip_fraction        | 0.546       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.6         |
|    explained_variance   | 0.988       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0179     |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0115     |
|    std                  | 0.177       |
|    value_loss           | 0.0075      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 309        |
| time/                   |            |
|    fps                  | 4758       |
|    iterations           | 34         |
|    time_elapsed         | 117        |
|    total_timesteps      | 557056     |
| train/                  |            |
|    approx_kl            | 0.08445502 |
|    clip_fraction        | 0.548      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.64       |
|    explained_variance   | 0.986      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0243    |
|    n_updates            | 330        |
|    policy_gradient_loss | -0.00853   |
|    std                  | 0.177      |
|    value_loss           | 0.00797    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 312        |
| time/                   |            |
|    fps                  | 4759       |
|    iterations           | 35         |
|    time_elapsed         | 120        |
|    total_timesteps      | 573440     |
| train/                  |            |
|    approx_kl            | 0.07848086 |
|    clip_fraction        | 0.535      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.7        |
|    explained_variance   | 0.99       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0148    |
|    n_updates            | 340        |
|    policy_gradient_loss | -0.00683   |
|    std                  | 0.176      |
|    value_loss           | 0.00758    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 315         |
| time/                   |             |
|    fps                  | 4761        |
|    iterations           | 36          |
|    time_elapsed         | 123         |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.083749354 |
|    clip_fraction        | 0.559       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.74        |
|    explained_variance   | 0.988       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0033      |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0103     |
|    std                  | 0.176       |
|    value_loss           | 0.00805     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 336        |
| time/                   |            |
|    fps                  | 4755       |
|    iterations           | 37         |
|    time_elapsed         | 127        |
|    total_timesteps      | 606208     |
| train/                  |            |
|    approx_kl            | 0.07795907 |
|    clip_fraction        | 0.535      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.77       |
|    explained_variance   | 0.991      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0342    |
|    n_updates            | 360        |
|    policy_gradient_loss | -0.0108    |
|    std                  | 0.176      |
|    value_loss           | 0.00597    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 330        |
| time/                   |            |
|    fps                  | 4751       |
|    iterations           | 38         |
|    time_elapsed         | 131        |
|    total_timesteps      | 622592     |
| train/                  |            |
|    approx_kl            | 0.07602161 |
|    clip_fraction        | 0.528      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.78       |
|    explained_variance   | 0.989      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0259    |
|    n_updates            | 370        |
|    policy_gradient_loss | -0.00909   |
|    std                  | 0.176      |
|    value_loss           | 0.00667    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 312         |
| time/                   |             |
|    fps                  | 4751        |
|    iterations           | 39          |
|    time_elapsed         | 134         |
|    total_timesteps      | 638976      |
| train/                  |             |
|    approx_kl            | 0.082404405 |
|    clip_fraction        | 0.538       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.8         |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0201     |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0096     |
|    std                  | 0.175       |
|    value_loss           | 0.00661     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 318         |
| time/                   |             |
|    fps                  | 4750        |
|    iterations           | 40          |
|    time_elapsed         | 137         |
|    total_timesteps      | 655360      |
| train/                  |             |
|    approx_kl            | 0.083633006 |
|    clip_fraction        | 0.556       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.83        |
|    explained_variance   | 0.987       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0262     |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.00961    |
|    std                  | 0.175       |
|    value_loss           | 0.0072      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 315         |
| time/                   |             |
|    fps                  | 4743        |
|    iterations           | 41          |
|    time_elapsed         | 141         |
|    total_timesteps      | 671744      |
| train/                  |             |
|    approx_kl            | 0.085477136 |
|    clip_fraction        | 0.551       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.86        |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0227     |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.00773    |
|    std                  | 0.175       |
|    value_loss           | 0.00592     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 316        |
| time/                   |            |
|    fps                  | 4741       |
|    iterations           | 42         |
|    time_elapsed         | 145        |
|    total_timesteps      | 688128     |
| train/                  |            |
|    approx_kl            | 0.08382639 |
|    clip_fraction        | 0.559      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.89       |
|    explained_variance   | 0.989      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.00173   |
|    n_updates            | 410        |
|    policy_gradient_loss | -0.00632   |
|    std                  | 0.174      |
|    value_loss           | 0.00697    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 305         |
| time/                   |             |
|    fps                  | 4744        |
|    iterations           | 43          |
|    time_elapsed         | 148         |
|    total_timesteps      | 704512      |
| train/                  |             |
|    approx_kl            | 0.080854625 |
|    clip_fraction        | 0.551       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.89        |
|    explained_variance   | 0.988       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0125     |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.00691    |
|    std                  | 0.174       |
|    value_loss           | 0.00666     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 319         |
| time/                   |             |
|    fps                  | 4748        |
|    iterations           | 44          |
|    time_elapsed         | 151         |
|    total_timesteps      | 720896      |
| train/                  |             |
|    approx_kl            | 0.091214724 |
|    clip_fraction        | 0.566       |
|    clip_range           | 0.2         |
|    entropy_loss         | 5.92        |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0191     |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.00931    |
|    std                  | 0.174       |
|    value_loss           | 0.00744     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 326        |
| time/                   |            |
|    fps                  | 4751       |
|    iterations           | 45         |
|    time_elapsed         | 155        |
|    total_timesteps      | 737280     |
| train/                  |            |
|    approx_kl            | 0.07699812 |
|    clip_fraction        | 0.547      |
|    clip_range           | 0.2        |
|    entropy_loss         | 5.94       |
|    explained_variance   | 0.989      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0189    |
|    n_updates            | 440        |
|    policy_gradient_loss | -0.00698   |
|    std                  | 0.174      |
|    value_loss           | 0.00557    |
