Run dir: /Users/lukas/weird_objects/hexapod_walker/policies/walker_v1
Using cpu device
Logging to /Users/lukas/weird_objects/hexapod_walker/policies/walker_v1
Training 1000000 steps across 8 parallel envs ...
---------------------------------
| rollout/           |          |
|    ep_len_mean          | 36.8        |
|    ep_rew_mean          | 4.51        |
| time/                   |             |
|    fps                  | 4756        |
|    iterations           | 10          |
|    time_elapsed         | 34          |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.016882326 |
|    clip_fraction        | 0.219       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25.5       |
|    explained_variance   | 0.129       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.145       |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.0351     |
|    std                  | 0.995       |
|    value_loss           | 0.689       |
-----------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 41.2     |
|    ep_rew_mean          | 5        |
| time/                   |          |
|    fps                  | 4725     |
|    iterations           | 11       |
|    time_elapsed         | 38       |
|    total_timesteps      | 180224   |
| train/                  |          |
|    approx_kl            | 0.016395 |
|    clip_fraction        | 0.217    |
|    clip_range           | 0.2      |
|    entropy_loss         | -25.4    |
|    explained_variance   | 0.153    |
|    learning_rate        | 0.0003   |
|    loss                 | 0.138    |
|    n_updates            | 100      |
|    policy_gradient_loss | -0.0364  |
|    std                  | 0.994    |
|    value_loss           | 0.68     |
--------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 44.8        |
|    ep_rew_mean          | 7.27        |
| time/                   |             |
|    fps                  | 4702        |
|    iterations           | 12          |
|    time_elapsed         | 41          |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.015824918 |
|    clip_fraction        | 0.209       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25.4       |
|    explained_variance   | 0.193       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0696      |
|    n_updates            | 110         |
|    policy_gradient_loss | -0.0364     |
|    std                  | 0.992       |
|    value_loss           | 0.562       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 65.4       |
|    ep_rew_mean          | 13.1       |
| time/                   |            |
|    fps                  | 4679       |
|    iterations           | 13         |
|    time_elapsed         | 45         |
|    total_timesteps      | 212992     |
| train/                  |            |
|    approx_kl            | 0.01595624 |
|    clip_fraction        | 0.216      |
|    clip_range           | 0.2        |
|    entropy_loss         | -25.3      |
|    explained_variance   | 0.244      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.00972    |
|    n_updates            | 120        |
|    policy_gradient_loss | -0.0385    |
|    std                  | 0.989      |
|    value_loss           | 0.49       |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 79.4       |
|    ep_rew_mean          | 14.3       |
| time/                   |            |
|    fps                  | 4654       |
|    iterations           | 14         |
|    time_elapsed         | 49         |
|    total_timesteps      | 229376     |
| train/                  |            |
|    approx_kl            | 0.01722826 |
|    clip_fraction        | 0.22       |
|    clip_range           | 0.2        |
|    entropy_loss         | -25.3      |
|    explained_variance   | 0.305      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0274     |
|    n_updates            | 130        |
|    policy_gradient_loss | -0.0396    |
|    std                  | 0.986      |
|    value_loss           | 0.468      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 90.8        |
|    ep_rew_mean          | 16.2        |
| time/                   |             |
|    fps                  | 4627        |
|    iterations           | 15          |
|    time_elapsed         | 53          |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.017262105 |
|    clip_fraction        | 0.23        |
|    clip_range           | 0.2         |
|    entropy_loss         | -25.3       |
|    explained_variance   | 0.375       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00622    |
|    n_updates            | 140         |
|    policy_gradient_loss | -0.0404     |
|    std                  | 0.984       |
|    value_loss           | 0.413       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 131         |
|    ep_rew_mean          | 28.1        |
| time/                   |             |
|    fps                  | 4601        |
|    iterations           | 16          |
|    time_elapsed         | 56          |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.017104827 |
|    clip_fraction        | 0.223       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25.2       |
|    explained_variance   | 0.462       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.037      |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.0403     |
|    std                  | 0.981       |
|    value_loss           | 0.354       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 140         |
|    ep_rew_mean          | 31.5        |
| time/                   |             |
|    fps                  | 4578        |
|    iterations           | 17          |
|    time_elapsed         | 60          |
|    total_timesteps      | 278528      |
| train/                  |             |
|    approx_kl            | 0.017362673 |
|    clip_fraction        | 0.221       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25.2       |
|    explained_variance   | 0.46        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0523     |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0406     |
|    std                  | 0.982       |
|    value_loss           | 0.303       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 166         |
|    ep_rew_mean          | 41.5        |
| time/                   |             |
|    fps                  | 4559        |
|    iterations           | 18          |
|    time_elapsed         | 64          |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.016900647 |
|    clip_fraction        | 0.218       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25.2       |
|    explained_variance   | 0.523       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0776     |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.0404     |
|    std                  | 0.979       |
|    value_loss           | 0.277       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 187        |
|    ep_rew_mean          | 47.6       |
| time/                   |            |
|    fps                  | 4540       |
|    iterations           | 19         |
|    time_elapsed         | 68         |
|    total_timesteps      | 311296     |
| train/                  |            |
|    approx_kl            | 0.01707492 |
|    clip_fraction        | 0.223      |
|    clip_range           | 0.2        |
|    entropy_loss         | -25.1      |
|    explained_variance   | 0.585      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0848    |
|    n_updates            | 180        |
|    policy_gradient_loss | -0.0413    |
|    std                  | 0.978      |
|    value_loss           | 0.246      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | 47.8        |
| time/                   |             |
|    fps                  | 4532        |
|    iterations           | 20          |
|    time_elapsed         | 72          |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.017010655 |
|    clip_fraction        | 0.221       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25.1       |
|    explained_variance   | 0.681       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.106      |
|    n_updates            | 190         |
|    policy_gradient_loss | -0.0408     |
|    std                  | 0.976       |
|    value_loss           | 0.189       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 229         |
|    ep_rew_mean          | 54.5        |
| time/                   |             |
|    fps                  | 4522        |
|    iterations           | 21          |
|    time_elapsed         | 76          |
|    total_timesteps      | 344064      |
| train/                  |             |
|    approx_kl            | 0.017946964 |
|    clip_fraction        | 0.231       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25.1       |
|    explained_variance   | 0.742       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.117      |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0421     |
|    std                  | 0.975       |
|    value_loss           | 0.186       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 262         |
|    ep_rew_mean          | 65.1        |
| time/                   |             |
|    fps                  | 4510        |
|    iterations           | 22          |
|    time_elapsed         | 79          |
|    total_timesteps      | 360448      |
| train/                  |             |
|    approx_kl            | 0.017150193 |
|    clip_fraction        | 0.217       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25.1       |
|    explained_variance   | 0.766       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.132      |
|    n_updates            | 210         |
|    policy_gradient_loss | -0.0415     |
|    std                  | 0.973       |
|    value_loss           | 0.146       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 261         |
|    ep_rew_mean          | 71.5        |
| time/                   |             |
|    fps                  | 4505        |
|    iterations           | 23          |
|    time_elapsed         | 83          |
|    total_timesteps      | 376832      |
| train/                  |             |
|    approx_kl            | 0.017009024 |
|    clip_fraction        | 0.217       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25         |
|    explained_variance   | 0.78        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.137      |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0407     |
|    std                  | 0.971       |
|    value_loss           | 0.132       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 272         |
|    ep_rew_mean          | 75.9        |
| time/                   |             |
|    fps                  | 4501        |
|    iterations           | 24          |
|    time_elapsed         | 87          |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.018525176 |
|    clip_fraction        | 0.229       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25         |
|    explained_variance   | 0.771       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.13       |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0419     |
|    std                  | 0.969       |
|    value_loss           | 0.134       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 274         |
|    ep_rew_mean          | 78.5        |
| time/                   |             |
|    fps                  | 4496        |
|    iterations           | 25          |
|    time_elapsed         | 91          |
|    total_timesteps      | 409600      |
| train/                  |             |
|    approx_kl            | 0.018419655 |
|    clip_fraction        | 0.226       |
|    clip_range           | 0.2         |
|    entropy_loss         | -25         |
|    explained_variance   | 0.775       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.141      |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0419     |
|    std                  | 0.967       |
|    value_loss           | 0.115       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 263         |
|    ep_rew_mean          | 72.7        |
| time/                   |             |
|    fps                  | 4492        |
|    iterations           | 26          |
|    time_elapsed         | 94          |
|    total_timesteps      | 425984      |
| train/                  |             |
|    approx_kl            | 0.018946113 |
|    clip_fraction        | 0.233       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.9       |
|    explained_variance   | 0.83        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.135      |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.042      |
|    std                  | 0.966       |
|    value_loss           | 0.106       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 268         |
|    ep_rew_mean          | 76          |
| time/                   |             |
|    fps                  | 4488        |
|    iterations           | 27          |
|    time_elapsed         | 98          |
|    total_timesteps      | 442368      |
| train/                  |             |
|    approx_kl            | 0.018314045 |
|    clip_fraction        | 0.224       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.9       |
|    explained_variance   | 0.843       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.135      |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0418     |
|    std                  | 0.964       |
|    value_loss           | 0.114       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 270         |
|    ep_rew_mean          | 71.8        |
| time/                   |             |
|    fps                  | 4486        |
|    iterations           | 28          |
|    time_elapsed         | 102         |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.018112216 |
|    clip_fraction        | 0.227       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.8       |
|    explained_variance   | 0.814       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.14       |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.042      |
|    std                  | 0.962       |
|    value_loss           | 0.109       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 274         |
|    ep_rew_mean          | 71.4        |
| time/                   |             |
|    fps                  | 4485        |
|    iterations           | 29          |
|    time_elapsed         | 105         |
|    total_timesteps      | 475136      |
| train/                  |             |
|    approx_kl            | 0.019379016 |
|    clip_fraction        | 0.241       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.8       |
|    explained_variance   | 0.837       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.149      |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0444     |
|    std                  | 0.96        |
|    value_loss           | 0.0955      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 286        |
|    ep_rew_mean          | 84.7       |
| time/                   |            |
|    fps                  | 4483       |
|    iterations           | 30         |
|    time_elapsed         | 109        |
|    total_timesteps      | 491520     |
| train/                  |            |
|    approx_kl            | 0.01841125 |
|    clip_fraction        | 0.232      |
|    clip_range           | 0.2        |
|    entropy_loss         | -24.8      |
|    explained_variance   | 0.817      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.149     |
|    n_updates            | 290        |
|    policy_gradient_loss | -0.0422    |
|    std                  | 0.96       |
|    value_loss           | 0.1        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 280         |
|    ep_rew_mean          | 86.1        |
| time/                   |             |
|    fps                  | 4480        |
|    iterations           | 31          |
|    time_elapsed         | 113         |
|    total_timesteps      | 507904      |
| train/                  |             |
|    approx_kl            | 0.019748343 |
|    clip_fraction        | 0.233       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.8       |
|    explained_variance   | 0.858       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.154      |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0441     |
|    std                  | 0.959       |
|    value_loss           | 0.0837      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 284         |
|    ep_rew_mean          | 89.2        |
| time/                   |             |
|    fps                  | 4479        |
|    iterations           | 32          |
|    time_elapsed         | 117         |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.019535007 |
|    clip_fraction        | 0.238       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.8       |
|    explained_variance   | 0.854       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.156      |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0438     |
|    std                  | 0.958       |
|    value_loss           | 0.0867      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 288         |
|    ep_rew_mean          | 98.1        |
| time/                   |             |
|    fps                  | 4477        |
|    iterations           | 33          |
|    time_elapsed         | 120         |
|    total_timesteps      | 540672      |
| train/                  |             |
|    approx_kl            | 0.019853882 |
|    clip_fraction        | 0.24        |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.7       |
|    explained_variance   | 0.823       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.162      |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0457     |
|    std                  | 0.957       |
|    value_loss           | 0.0692      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 289         |
|    ep_rew_mean          | 92.6        |
| time/                   |             |
|    fps                  | 4467        |
|    iterations           | 34          |
|    time_elapsed         | 124         |
|    total_timesteps      | 557056      |
| train/                  |             |
|    approx_kl            | 0.019217111 |
|    clip_fraction        | 0.238       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.7       |
|    explained_variance   | 0.83        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.159      |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0431     |
|    std                  | 0.956       |
|    value_loss           | 0.0704      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 292         |
|    ep_rew_mean          | 91.7        |
| time/                   |             |
|    fps                  | 4462        |
|    iterations           | 35          |
|    time_elapsed         | 128         |
|    total_timesteps      | 573440      |
| train/                  |             |
|    approx_kl            | 0.019671503 |
|    clip_fraction        | 0.24        |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.7       |
|    explained_variance   | 0.845       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.161      |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0451     |
|    std                  | 0.954       |
|    value_loss           | 0.0748      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 283         |
|    ep_rew_mean          | 92.9        |
| time/                   |             |
|    fps                  | 4456        |
|    iterations           | 36          |
|    time_elapsed         | 132         |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.019779723 |
|    clip_fraction        | 0.245       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.7       |
|    explained_variance   | 0.839       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.154      |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0442     |
|    std                  | 0.953       |
|    value_loss           | 0.0688      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 279         |
|    ep_rew_mean          | 89.7        |
| time/                   |             |
|    fps                  | 4450        |
|    iterations           | 37          |
|    time_elapsed         | 136         |
|    total_timesteps      | 606208      |
| train/                  |             |
|    approx_kl            | 0.020561416 |
|    clip_fraction        | 0.245       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.7       |
|    explained_variance   | 0.866       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.156      |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0454     |
|    std                  | 0.953       |
|    value_loss           | 0.0706      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 287        |
|    ep_rew_mean          | 95.7       |
| time/                   |            |
|    fps                  | 4438       |
|    iterations           | 38         |
|    time_elapsed         | 140        |
|    total_timesteps      | 622592     |
| train/                  |            |
|    approx_kl            | 0.01987368 |
|    clip_fraction        | 0.242      |
|    clip_range           | 0.2        |
|    entropy_loss         | -24.7      |
|    explained_variance   | 0.881      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.163     |
|    n_updates            | 370        |
|    policy_gradient_loss | -0.0458    |
|    std                  | 0.953      |
|    value_loss           | 0.0631     |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 286        |
|    ep_rew_mean          | 98.2       |
| time/                   |            |
|    fps                  | 4434       |
|    iterations           | 39         |
|    time_elapsed         | 144        |
|    total_timesteps      | 638976     |
| train/                  |            |
|    approx_kl            | 0.02059645 |
|    clip_fraction        | 0.249      |
|    clip_range           | 0.2        |
|    entropy_loss         | -24.7      |
|    explained_variance   | 0.863      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.165     |
|    n_updates            | 380        |
|    policy_gradient_loss | -0.0456    |
|    std                  | 0.952      |
|    value_loss           | 0.0702     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 287         |
|    ep_rew_mean          | 95.6        |
| time/                   |             |
|    fps                  | 4431        |
|    iterations           | 40          |
|    time_elapsed         | 147         |
|    total_timesteps      | 655360      |
| train/                  |             |
|    approx_kl            | 0.020531513 |
|    clip_fraction        | 0.249       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.6       |
|    explained_variance   | 0.904       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.163      |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0443     |
|    std                  | 0.952       |
|    value_loss           | 0.0616      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 293         |
|    ep_rew_mean          | 102         |
| time/                   |             |
|    fps                  | 4426        |
|    iterations           | 41          |
|    time_elapsed         | 151         |
|    total_timesteps      | 671744      |
| train/                  |             |
|    approx_kl            | 0.020323236 |
|    clip_fraction        | 0.245       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.6       |
|    explained_variance   | 0.833       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.167      |
|    n_updates            | 400         |
|    policy_gradient_loss | -0.0452     |
|    std                  | 0.951       |
|    value_loss           | 0.0647      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 295         |
|    ep_rew_mean          | 105         |
| time/                   |             |
|    fps                  | 4424        |
|    iterations           | 42          |
|    time_elapsed         | 155         |
|    total_timesteps      | 688128      |
| train/                  |             |
|    approx_kl            | 0.021153262 |
|    clip_fraction        | 0.255       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.6       |
|    explained_variance   | 0.851       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.164      |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.0473     |
|    std                  | 0.95        |
|    value_loss           | 0.0568      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 294         |
|    ep_rew_mean          | 99.9        |
| time/                   |             |
|    fps                  | 4422        |
|    iterations           | 43          |
|    time_elapsed         | 159         |
|    total_timesteps      | 704512      |
| train/                  |             |
|    approx_kl            | 0.020889372 |
|    clip_fraction        | 0.25        |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.6       |
|    explained_variance   | 0.823       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.17       |
|    n_updates            | 420         |
|    policy_gradient_loss | -0.0461     |
|    std                  | 0.949       |
|    value_loss           | 0.0545      |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 293       |
|    ep_rew_mean          | 100       |
| time/                   |           |
|    fps                  | 4420      |
|    iterations           | 44        |
|    time_elapsed         | 163       |
|    total_timesteps      | 720896    |
| train/                  |           |
|    approx_kl            | 0.0202513 |
|    clip_fraction        | 0.249     |
|    clip_range           | 0.2       |
|    entropy_loss         | -24.6     |
|    explained_variance   | 0.869     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.165    |
|    n_updates            | 430       |
|    policy_gradient_loss | -0.0461   |
|    std                  | 0.948     |
|    value_loss           | 0.062     |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 298         |
|    ep_rew_mean          | 110         |
| time/                   |             |
|    fps                  | 4417        |
|    iterations           | 45          |
|    time_elapsed         | 166         |
|    total_timesteps      | 737280      |
| train/                  |             |
|    approx_kl            | 0.019746836 |
|    clip_fraction        | 0.241       |
|    clip_range           | 0.2         |
|    entropy_loss         | -24.5       |
|    explained_variance   | 0.902       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.173      |
