Run dir: /Users/lukas/weird_objects/hexapod_walker/policies/walker_v3
Using cpu device
Logging to /Users/lukas/weird_objects/hexapod_walker/policies/walker_v3
Training 2500000 steps across 8 parallel envs ...
---------------------------------
| rollout/           |          |
|    total_timesteps      | 262144     |
| train/                  |            |
|    approx_kl            | 0.05510375 |
|    clip_fraction        | 0.483      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.75       |
|    explained_variance   | 0.973      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0235    |
|    n_updates            | 150        |
|    policy_gradient_loss | -0.0158    |
|    std                  | 0.22       |
|    value_loss           | 0.00551    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 488         |
| time/                   |             |
|    fps                  | 3005        |
|    iterations           | 17          |
|    time_elapsed         | 92          |
|    total_timesteps      | 278528      |
| train/                  |             |
|    approx_kl            | 0.053925596 |
|    clip_fraction        | 0.47        |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.79        |
|    explained_variance   | 0.986       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0134     |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.0159     |
|    std                  | 0.219       |
|    value_loss           | 0.00462     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 487         |
| time/                   |             |
|    fps                  | 3006        |
|    iterations           | 18          |
|    time_elapsed         | 98          |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.052765105 |
|    clip_fraction        | 0.469       |
|    clip_range           | 0.2         |
|    entropy_loss         | 1.84        |
|    explained_variance   | 0.987       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0328     |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.016      |
|    std                  | 0.218       |
|    value_loss           | 0.00405     |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 300       |
|    ep_rew_mean          | 465       |
| time/                   |           |
|    fps                  | 2998      |
|    iterations           | 19        |
|    time_elapsed         | 103       |
|    total_timesteps      | 311296    |
| train/                  |           |
|    approx_kl            | 0.0561276 |
|    clip_fraction        | 0.486     |
|    clip_range           | 0.2       |
|    entropy_loss         | 1.89      |
|    explained_variance   | 0.987     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0132   |
|    n_updates            | 180       |
|    policy_gradient_loss | -0.0142   |
|    std                  | 0.218     |
|    value_loss           | 0.00447   |
---------------------------------------
--------------------------------------
| rollout/                |          |
|    ep_len_mean          | 300      |
|    ep_rew_mean          | 470      |
| time/                   |          |
|    fps                  | 2991     |
|    iterations           | 20       |
|    time_elapsed         | 109      |
|    total_timesteps      | 327680   |
| train/                  |          |
|    approx_kl            | 0.064032 |
|    clip_fraction        | 0.506    |
|    clip_range           | 0.2      |
|    entropy_loss         | 1.92     |
|    explained_variance   | 0.985    |
|    learning_rate        | 0.0003   |
|    loss                 | -0.0301  |
|    n_updates            | 190      |
|    policy_gradient_loss | -0.0157  |
|    std                  | 0.217    |
|    value_loss           | 0.0045   |
--------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 478        |
| time/                   |            |
|    fps                  | 2985       |
|    iterations           | 21         |
|    time_elapsed         | 115        |
|    total_timesteps      | 344064     |
| train/                  |            |
|    approx_kl            | 0.06677315 |
|    clip_fraction        | 0.506      |
|    clip_range           | 0.2        |
|    entropy_loss         | 1.98       |
|    explained_variance   | 0.99       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0459    |
|    n_updates            | 200        |
|    policy_gradient_loss | -0.0185    |
|    std                  | 0.217      |
|    value_loss           | 0.00355    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 462        |
| time/                   |            |
|    fps                  | 2960       |
|    iterations           | 22         |
|    time_elapsed         | 121        |
|    total_timesteps      | 360448     |
| train/                  |            |
|    approx_kl            | 0.06661779 |
|    clip_fraction        | 0.519      |
|    clip_range           | 0.2        |
|    entropy_loss         | 2.01       |
|    explained_variance   | 0.99       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0302    |
|    n_updates            | 210        |
|    policy_gradient_loss | -0.0179    |
|    std                  | 0.216      |
|    value_loss           | 0.00378    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 462         |
| time/                   |             |
|    fps                  | 2959        |
|    iterations           | 23          |
|    time_elapsed         | 127         |
|    total_timesteps      | 376832      |
| train/                  |             |
|    approx_kl            | 0.066895634 |
|    clip_fraction        | 0.513       |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.06        |
|    explained_variance   | 0.985       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0216     |
|    n_updates            | 220         |
|    policy_gradient_loss | -0.0163     |
|    std                  | 0.216       |
|    value_loss           | 0.00413     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 481        |
| time/                   |            |
|    fps                  | 2948       |
|    iterations           | 24         |
|    time_elapsed         | 133        |
|    total_timesteps      | 393216     |
| train/                  |            |
|    approx_kl            | 0.06492548 |
|    clip_fraction        | 0.52       |
|    clip_range           | 0.2        |
|    entropy_loss         | 2.08       |
|    explained_variance   | 0.987      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0379    |
|    n_updates            | 230        |
|    policy_gradient_loss | -0.0155    |
|    std                  | 0.216      |
|    value_loss           | 0.00328    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 489        |
| time/                   |            |
|    fps                  | 2951       |
|    iterations           | 25         |
|    time_elapsed         | 138        |
|    total_timesteps      | 409600     |
| train/                  |            |
|    approx_kl            | 0.06343239 |
|    clip_fraction        | 0.511      |
|    clip_range           | 0.2        |
|    entropy_loss         | 2.11       |
|    explained_variance   | 0.99       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0445    |
|    n_updates            | 240        |
|    policy_gradient_loss | -0.0168    |
|    std                  | 0.215      |
|    value_loss           | 0.00296    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 477         |
| time/                   |             |
|    fps                  | 2948        |
|    iterations           | 26          |
|    time_elapsed         | 144         |
|    total_timesteps      | 425984      |
| train/                  |             |
|    approx_kl            | 0.072626024 |
|    clip_fraction        | 0.518       |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.15        |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0231     |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.0157     |
|    std                  | 0.215       |
|    value_loss           | 0.00343     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 473        |
| time/                   |            |
|    fps                  | 2949       |
|    iterations           | 27         |
|    time_elapsed         | 149        |
|    total_timesteps      | 442368     |
| train/                  |            |
|    approx_kl            | 0.06956929 |
|    clip_fraction        | 0.525      |
|    clip_range           | 0.2        |
|    entropy_loss         | 2.2        |
|    explained_variance   | 0.988      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0308    |
|    n_updates            | 260        |
|    policy_gradient_loss | -0.0174    |
|    std                  | 0.214      |
|    value_loss           | 0.00341    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 481        |
| time/                   |            |
|    fps                  | 2952       |
|    iterations           | 28         |
|    time_elapsed         | 155        |
|    total_timesteps      | 458752     |
| train/                  |            |
|    approx_kl            | 0.07260391 |
|    clip_fraction        | 0.532      |
|    clip_range           | 0.2        |
|    entropy_loss         | 2.23       |
|    explained_variance   | 0.99       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0242    |
|    n_updates            | 270        |
|    policy_gradient_loss | -0.0147    |
|    std                  | 0.214      |
|    value_loss           | 0.00313    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 484         |
| time/                   |             |
|    fps                  | 2934        |
|    iterations           | 29          |
|    time_elapsed         | 161         |
|    total_timesteps      | 475136      |
| train/                  |             |
|    approx_kl            | 0.072969206 |
|    clip_fraction        | 0.526       |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.26        |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0335     |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.016      |
|    std                  | 0.213       |
|    value_loss           | 0.00299     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 474         |
| time/                   |             |
|    fps                  | 2939        |
|    iterations           | 30          |
|    time_elapsed         | 167         |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.071578555 |
|    clip_fraction        | 0.54        |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.31        |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.034      |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0142     |
|    std                  | 0.213       |
|    value_loss           | 0.00287     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 480         |
| time/                   |             |
|    fps                  | 2942        |
|    iterations           | 31          |
|    time_elapsed         | 172         |
|    total_timesteps      | 507904      |
| train/                  |             |
|    approx_kl            | 0.079231545 |
|    clip_fraction        | 0.543       |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.33        |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0376     |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0136     |
|    std                  | 0.213       |
|    value_loss           | 0.00336     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 504        |
| time/                   |            |
|    fps                  | 2942       |
|    iterations           | 32         |
|    time_elapsed         | 178        |
|    total_timesteps      | 524288     |
| train/                  |            |
|    approx_kl            | 0.06964894 |
|    clip_fraction        | 0.531      |
|    clip_range           | 0.2        |
|    entropy_loss         | 2.34       |
|    explained_variance   | 0.989      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0219    |
|    n_updates            | 310        |
|    policy_gradient_loss | -0.0161    |
|    std                  | 0.212      |
|    value_loss           | 0.00249    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 496         |
| time/                   |             |
|    fps                  | 2937        |
|    iterations           | 33          |
|    time_elapsed         | 184         |
|    total_timesteps      | 540672      |
| train/                  |             |
|    approx_kl            | 0.070891075 |
|    clip_fraction        | 0.522       |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.38        |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.036      |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0169     |
|    std                  | 0.212       |
|    value_loss           | 0.00229     |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 300       |
|    ep_rew_mean          | 483       |
| time/                   |           |
|    fps                  | 2941      |
|    iterations           | 34        |
|    time_elapsed         | 189       |
|    total_timesteps      | 557056    |
| train/                  |           |
|    approx_kl            | 0.0714041 |
|    clip_fraction        | 0.528     |
|    clip_range           | 0.2       |
|    entropy_loss         | 2.4       |
|    explained_variance   | 0.993     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0157   |
|    n_updates            | 330       |
|    policy_gradient_loss | -0.0145   |
|    std                  | 0.212     |
|    value_loss           | 0.00284   |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 488         |
| time/                   |             |
|    fps                  | 2935        |
|    iterations           | 35          |
|    time_elapsed         | 195         |
|    total_timesteps      | 573440      |
| train/                  |             |
|    approx_kl            | 0.076420195 |
|    clip_fraction        | 0.542       |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.46        |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0399     |
|    n_updates            | 340         |
|    policy_gradient_loss | -0.0186     |
|    std                  | 0.211       |
|    value_loss           | 0.00291     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 494         |
| time/                   |             |
|    fps                  | 2938        |
|    iterations           | 36          |
|    time_elapsed         | 200         |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.075174876 |
|    clip_fraction        | 0.543       |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.52        |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0355     |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0138     |
|    std                  | 0.21        |
|    value_loss           | 0.00279     |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 300       |
|    ep_rew_mean          | 495       |
| time/                   |           |
|    fps                  | 2937      |
|    iterations           | 37        |
|    time_elapsed         | 206       |
|    total_timesteps      | 606208    |
| train/                  |           |
|    approx_kl            | 0.0850923 |
|    clip_fraction        | 0.547     |
|    clip_range           | 0.2       |
|    entropy_loss         | 2.55      |
|    explained_variance   | 0.989     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.033    |
|    n_updates            | 360       |
|    policy_gradient_loss | -0.015    |
|    std                  | 0.21      |
|    value_loss           | 0.00246   |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 491         |
| time/                   |             |
|    fps                  | 2926        |
|    iterations           | 38          |
|    time_elapsed         | 212         |
|    total_timesteps      | 622592      |
| train/                  |             |
|    approx_kl            | 0.079109006 |
|    clip_fraction        | 0.544       |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.61        |
|    explained_variance   | 0.991       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0188     |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.0163     |
|    std                  | 0.209       |
|    value_loss           | 0.00225     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 494         |
| time/                   |             |
|    fps                  | 2924        |
|    iterations           | 39          |
|    time_elapsed         | 218         |
|    total_timesteps      | 638976      |
| train/                  |             |
|    approx_kl            | 0.087097794 |
|    clip_fraction        | 0.562       |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.66        |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.024      |
|    n_updates            | 380         |
|    policy_gradient_loss | -0.0135     |
|    std                  | 0.209       |
|    value_loss           | 0.00284     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 494        |
| time/                   |            |
|    fps                  | 2912       |
|    iterations           | 40         |
|    time_elapsed         | 225        |
|    total_timesteps      | 655360     |
| train/                  |            |
|    approx_kl            | 0.07682125 |
|    clip_fraction        | 0.55       |
|    clip_range           | 0.2        |
|    entropy_loss         | 2.7        |
|    explained_variance   | 0.99       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0182    |
|    n_updates            | 390        |
|    policy_gradient_loss | -0.0156    |
|    std                  | 0.208      |
|    value_loss           | 0.00216    |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 493        |
| time/                   |            |
|    fps                  | 2918       |
|    iterations           | 41         |
|    time_elapsed         | 230        |
|    total_timesteps      | 671744     |
| train/                  |            |
|    approx_kl            | 0.09576753 |
|    clip_fraction        | 0.576      |
|    clip_range           | 0.2        |
|    entropy_loss         | 2.77       |
|    explained_variance   | 0.993      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0306    |
|    n_updates            | 400        |
|    policy_gradient_loss | -0.0157    |
|    std                  | 0.207      |
|    value_loss           | 0.00275    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 505         |
| time/                   |             |
|    fps                  | 2923        |
|    iterations           | 42          |
|    time_elapsed         | 235         |
|    total_timesteps      | 688128      |
| train/                  |             |
|    approx_kl            | 0.082743794 |
|    clip_fraction        | 0.563       |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.82        |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0396     |
|    n_updates            | 410         |
|    policy_gradient_loss | -0.014      |
|    std                  | 0.207       |
|    value_loss           | 0.00251     |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 300       |
|    ep_rew_mean          | 497       |
| time/                   |           |
|    fps                  | 2923      |
|    iterations           | 43        |
|    time_elapsed         | 241       |
|    total_timesteps      | 704512    |
| train/                  |           |
|    approx_kl            | 0.0836045 |
|    clip_fraction        | 0.56      |
|    clip_range           | 0.2       |
|    entropy_loss         | 2.86      |
|    explained_variance   | 0.992     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0326   |
|    n_updates            | 420       |
|    policy_gradient_loss | -0.0129   |
|    std                  | 0.206     |
|    value_loss           | 0.00244   |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 300         |
|    ep_rew_mean          | 485         |
| time/                   |             |
|    fps                  | 2927        |
|    iterations           | 44          |
|    time_elapsed         | 246         |
|    total_timesteps      | 720896      |
| train/                  |             |
|    approx_kl            | 0.093442455 |
|    clip_fraction        | 0.57        |
|    clip_range           | 0.2         |
|    entropy_loss         | 2.91        |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0278     |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.0155     |
|    std                  | 0.206       |
|    value_loss           | 0.0029      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 300        |
|    ep_rew_mean          | 491        |
| time/                   |            |
|    fps                  | 2928       |
|    iterations           | 45         |
|    time_elapsed         | 251        |
|    total_timesteps      | 737280     |
| train/                  |            |
|    approx_kl            | 0.09065239 |
|    clip_fraction        | 0.574      |
|    clip_range           | 0.2        |
|    entropy_loss         | 2.91       |
|    explained_variance   | 0.991      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0198    |
|    n_updates            | 440        |
|    policy_gradient_loss | -0.0149    |
|    std                  | 0.206      |
|    value_loss           | 0.00262    |
